name,class,cX,cY,wX,hY,Wraw,Hraw
32x310100001,0,0.465374,0.473938,0.024007,0.098456,3840,2160
32x310100001,0,0.704063,0.358108,0.063712,0.048263,3840,2160
32x310100001,0,0.906279,0.23166,0.069252,0.057915,3840,2160
32x310100001,0,0.960757,0.060811,0.041551,0.121622,3840,2160
32x310100001,0,0.314866,0.720077,0.072022,0.046332,3840,2160
32x310100001,0,0.226685,0.706564,0.058172,0.042471,3840,2160
32x310100001,0,0.12096,0.698842,0.057248,0.057915,3840,2160
32x310100001,4,0.029086,0.780888,0.034164,0.021236,3840,2160
32x310100001,6,0.305171,0.689189,0.012004,0.019305,3840,2160
32x310100001,6,0.515235,0.957529,0.012927,0.027027,3840,2160
32x310100001,6,0.733149,0.329151,0.01108,0.025097,3840,2160
32x310100001,6,0.774238,0.330116,0.021237,0.023166,3840,2160
32x310100001,5,0.797784,0.315637,0.029548,0.028958,3840,2160
32x310100101,0,0.120037,0.694981,0.051708,0.050193,3840,2160
32x310100101,0,0.224377,0.702703,0.059095,0.03861,3840,2160
32x310100101,0,0.310249,0.721042,0.070175,0.048263,3840,2160
32x310100101,0,0.466297,0.480695,0.027701,0.100386,3840,2160
32x310100101,0,0.700831,0.353282,0.060942,0.050193,3840,2160
32x310100101,0,0.910896,0.23166,0.050785,0.050193,3840,2160
32x310100101,0,0.960295,0.062741,0.040628,0.117761,3840,2160
32x310100101,4,0.342567,0.789575,0.024007,0.019305,3840,2160
32x310100101,4,0.854109,0.309846,0.027701,0.028958,3840,2160
32x310100101,6,0.748846,0.336873,0.014774,0.025097,3840,2160
32x310100101,6,0.518006,0.861004,0.012927,0.023166,3840,2160
32x310100101,6,0.305171,0.689189,0.01385,0.023166,3840,2160
32x310100101,6,0.880425,0.243243,0.01385,0.015444,3840,2160
32x310100101,6,0.878578,0.216216,0.015697,0.019305,3840,2160
32x310100201,0,0.466297,0.478764,0.022161,0.100386,3840,2160
32x310100201,0,0.704986,0.356178,0.060018,0.044402,3840,2160
32x310100201,0,0.876731,0.294402,0.063712,0.052124,3840,2160
32x310100201,0,0.915051,0.23166,0.053555,0.054054,3840,2160
32x310100201,0,0.965836,0.05695,0.033241,0.110039,3840,2160
32x310100201,0,0.11542,0.698842,0.051708,0.054054,3840,2160
32x310100201,0,0.221145,0.705598,0.060018,0.040541,3840,2160
32x310100201,0,0.307479,0.728764,0.068329,0.044402,3840,2160
32x310100201,4,0.795937,0.342664,0.024007,0.028958,3840,2160
32x310100201,4,0.457987,0.911197,0.018467,0.046332,3840,2160
32x310100201,5,0.476916,0.132239,0.015697,0.055985,3840,2160
32x310100201,6,0.764081,0.368726,0.012004,0.030888,3840,2160
32x310100201,6,0.518929,0.771236,0.012927,0.032819,3840,2160
32x310100201,6,0.300092,0.703668,0.014774,0.021236,3840,2160
32x310100201,6,0.881348,0.240347,0.015697,0.017375,3840,2160
32x310100201,6,0.882733,0.215251,0.01662,0.021236,3840,2160
32x310100301,0,0.463527,0.477799,0.022161,0.102317,3840,2160
32x310100301,0,0.312096,0.725869,0.073869,0.046332,3840,2160
32x310100301,0,0.226223,0.703668,0.057248,0.040541,3840,2160
32x310100301,0,0.118652,0.697876,0.058172,0.055985,3840,2160
32x310100301,0,0.650508,0.257722,0.058172,0.044402,3840,2160
32x310100301,0,0.700369,0.353282,0.058172,0.046332,3840,2160
32x310100301,0,0.910434,0.233591,0.055402,0.057915,3840,2160
32x310100301,0,0.962142,0.063707,0.035088,0.119691,3840,2160
32x310100301,4,0.50554,0.667954,0.01385,0.061776,3840,2160
32x310100301,4,0.765466,0.34749,0.024007,0.027027,3840,2160
32x310100301,5,0.484765,0.494208,0.014774,0.050193,3840,2160
32x310100301,6,0.757156,0.377413,0.01108,0.025097,3840,2160
32x310100301,6,0.530933,0.669884,0.012927,0.030888,3840,2160
32x310100301,6,0.301016,0.695946,0.012927,0.025097,3840,2160
32x310100301,6,0.874423,0.224903,0.01662,0.021236,3840,2160
32x310100301,6,0.87904,0.244208,0.018467,0.021236,3840,2160
32x310100401,0,0.588181,0.259653,0.053555,0.040541,3840,2160
32x310100401,0,0.701754,0.359073,0.057248,0.046332,3840,2160
32x310100401,0,0.906741,0.23166,0.055402,0.054054,3840,2160
32x310100401,0,0.955679,0.061776,0.033241,0.11583,3840,2160
32x310100401,0,0.467221,0.480695,0.024007,0.100386,3840,2160
32x310100401,0,0.314866,0.722973,0.068329,0.052124,3840,2160
32x310100401,0,0.226223,0.704633,0.059095,0.03861,3840,2160
32x310100401,0,0.121422,0.694981,0.056325,0.054054,3840,2160
32x310100401,4,0.510619,0.809846,0.014774,0.055985,3840,2160
32x310100401,4,0.594183,0.346525,0.028624,0.025097,3840,2160
32x310100401,4,0.765466,0.348456,0.024007,0.028958,3840,2160
32x310100401,5,0.463989,0.928571,0.012004,0.054054,3840,2160
32x310100401,6,0.533703,0.582046,0.012927,0.017375,3840,2160
32x310100401,6,0.857802,0.206564,0.012927,0.03861,3840,2160
32x310100401,6,0.875808,0.242278,0.015697,0.021236,3840,2160
32x310100401,6,0.304709,0.694015,0.018467,0.025097,3840,2160
32x310100401,6,0.739151,0.3639,0.012004,0.028958,3840,2160
32x310100501,0,0.464912,0.478764,0.021237,0.104247,3840,2160
